date,region,deaths
2020-03-13 17:00:00,Liguria,17
2020-03-13 17:00:00,Lombardia,890
2020-03-13 17:00:00,Marche,27
2020-03-13 17:00:00,Molise,0
2020-03-13 17:00:00,P.A. Bolzano,2
2020-03-13 17:00:00,P.A. Trento,2
2020-03-13 17:00:00,Piemonte,46
2020-03-13 17:00:00,Puglia,5
2020-03-13 17:00:00,Sardegna,0
2020-03-13 17:00:00,Sicilia,2
2020-03-13 17:00:00,Toscana,5
2020-03-13 17:00:00,Umbria,1
2020-03-13 17:00:00,Valle d'Aosta,1
2020-03-13 17:00:00,Veneto,42
2020-03-14 17:00:00,Abruzzo,2
2020-03-14 17:00:00,Basilicata,0
2020-03-14 17:00:00,Calabria,0
2020-03-14 17:00:00,Campania,6
2020-03-14 17:00:00,Emilia-Romagna,241
2020-03-14 17:00:00,Friuli Venezia Giulia,13
2020-03-14 17:00:00,Lazio,13
2020-03-14 17:00:00,Liguria,27
2020-03-14 17:00:00,Lombardia,966
2020-03-14 17:00:00,Marche,36
2020-03-14 17:00:00,Molise,0
2020-03-14 17:00:00,P.A. Bolzano,3
2020-03-14 17:00:00,P.A. Trento,2
2020-03-14 17:00:00,Piemonte,59
2020-03-14 17:00:00,Puglia,8
2020-03-14 17:00:00,Sardegna,0
2020-03-14 17:00:00,Sicilia,2
2020-03-14 17:00:00,Toscana,6
2020-03-14 17:00:00,Umbria,1
2020-03-14 17:00:00,Valle d'Aosta,1
2020-03-14 17:00:00,Veneto,55
2020-03-15 17:00:00,Abruzzo,3
2020-03-15 17:00:00,Basilicata,0
2020-03-15 17:00:00,Calabria,1
2020-03-15 17:00:00,Campania,9
2020-03-15 17:00:00,Emilia-Romagna,284
2020-03-15 17:00:00,Friuli Venezia Giulia,14
2020-03-15 17:00:00,Lazio,16
2020-03-15 17:00:00,Liguria,33
2020-03-15 17:00:00,Lombardia,1218
2020-03-15 17:00:00,Marche,46
2020-03-15 17:00:00,Molise,0
2020-03-15 17:00:00,P.A. Bolzano,5
2020-03-15 17:00:00,P.A. Trento,6
2020-03-15 17:00:00,Piemonte,81
2020-03-15 17:00:00,Puglia,16
2020-03-15 17:00:00,Sardegna,2
2020-03-15 17:00:00,Sicilia,2
2020-03-15 17:00:00,Toscana,8
2020-03-15 17:00:00,Umbria,1
2020-03-15 17:00:00,Valle d'Aosta,1
2020-03-15 17:00:00,Veneto,63
2020-03-16 17:00:00,Abruzzo,4
2020-03-16 17:00:00,Basilicata,0
2020-03-16 17:00:00,Calabria,1
2020-03-16 17:00:00,Campania,9
2020-03-16 17:00:00,Emilia-Romagna,346
2020-03-16 17:00:00,Friuli Venezia Giulia,22
2020-03-16 17:00:00,Lazio,19
2020-03-16 17:00:00,Liguria,50
2020-03-16 17:00:00,Lombardia,1420
2020-03-16 17:00:00,Marche,57
2020-03-16 17:00:00,Molise,1
2020-03-16 17:00:00,P.A. Bolzano,6
2020-03-16 17:00:00,P.A. Trento,6
2020-03-16 17:00:00,Piemonte,111
2020-03-16 17:00:00,Puglia,16
2020-03-16 17:00:00,Sardegna,2
2020-03-16 17:00:00,Sicilia,2
2020-03-16 17:00:00,Toscana,14
2020-03-16 17:00:00,Umbria,1
2020-03-16 17:00:00,Valle d'Aosta,2
2020-03-16 17:00:00,Veneto,69
2020-03-17 17:00:00,Abruzzo,6
2020-03-17 17:00:00,Basilicata,0
2020-03-17 17:00:00,Calabria,1
2020-03-17 17:00:00,Campania,9
2020-03-17 17:00:00,Emilia-Romagna,393
2020-03-17 17:00:00,Friuli Venezia Giulia,30
2020-03-17 17:00:00,Lazio,23
2020-03-17 17:00:00,Liguria,60
2020-03-17 17:00:00,Lombardia,1640
2020-03-17 17:00:00,Marche,69
2020-03-17 17:00:00,Molise,1
2020-03-17 17:00:00,P.A. Bolzano,8
2020-03-17 17:00:00,P.A. Trento,7
2020-03-17 17:00:00,Piemonte,133
2020-03-17 17:00:00,Puglia,18
2020-03-17 17:00:00,Sardegna,2
2020-03-17 17:00:00,Sicilia,3
2020-03-17 17:00:00,Toscana,17
2020-03-17 17:00:00,Umbria,1
2020-03-17 17:00:00,Valle d'Aosta,2
2020-03-17 17:00:00,Veneto,80
2020-03-18 17:00:00,Abruzzo,7
2020-03-18 17:00:00,Basilicata,0
2020-03-18 17:00:00,Calabria,1
2020-03-18 17:00:00,Campania,9
2020-03-18 17:00:00,Emilia-Romagna,458
2020-03-18 17:00:00,Friuli Venezia Giulia,31
2020-03-18 17:00:00,Lazio,32
2020-03-18 17:00:00,Liguria,73
2020-03-18 17:00:00,Lombardia,1959
2020-03-18 17:00:00,Marche,92
2020-03-18 17:00:00,Molise,1
2020-03-18 17:00:00,P.A. Bolzano,9
2020-03-18 17:00:00,P.A. Trento,7
2020-03-18 17:00:00,Piemonte,154
2020-03-18 17:00:00,Puglia,19
2020-03-18 17:00:00,Sardegna,2
2020-03-18 17:00:00,Sicilia,3
2020-03-18 17:00:00,Toscana,22
2020-03-18 17:00:00,Umbria,2
2020-03-18 17:00:00,Valle d'Aosta,3
2020-03-18 17:00:00,Veneto,94
2020-03-19 17:00:00,Abruzzo,11
2020-03-19 17:00:00,Basilicata,0
2020-03-19 17:00:00,Calabria,3
2020-03-19 17:00:00,Campania,17
2020-03-19 17:00:00,Emilia-Romagna,531
2020-03-19 17:00:00,Friuli Venezia Giulia,36
2020-03-19 17:00:00,Lazio,38
2020-03-19 17:00:00,Liguria,91
2020-03-19 17:00:00,Lombardia,2168
2020-03-19 17:00:00,Marche,115
2020-03-19 17:00:00,Molise,2
2020-03-19 17:00:00,P.A. Bolzano,14
2020-03-19 17:00:00,P.A. Trento,12
2020-03-19 17:00:00,Piemonte,175
2020-03-19 17:00:00,Puglia,25
2020-03-19 17:00:00,Sardegna,2
2020-03-19 17:00:00,Sicilia,4
2020-03-19 17:00:00,Toscana,38
2020-03-19 17:00:00,Umbria,2
2020-03-19 17:00:00,Valle d'Aosta,6
2020-03-19 17:00:00,Veneto,115
2020-03-20 17:00:00,Abruzzo,17
2020-03-20 17:00:00,Basilicata,0
2020-03-20 17:00:00,Calabria,4
2020-03-20 17:00:00,Campania,17
2020-03-20 17:00:00,Emilia-Romagna,640
2020-03-20 17:00:00,Friuli Venezia Giulia,38
2020-03-20 17:00:00,Lazio,43
2020-03-20 17:00:00,Liguria,119
2020-03-20 17:00:00,Lombardia,2549
2020-03-20 17:00:00,Marche,137
2020-03-20 17:00:00,Molise,5
2020-03-20 17:00:00,P.A. Bolzano,17
2020-03-20 17:00:00,P.A. Trento,13
2020-03-20 17:00:00,Piemonte,209
2020-03-20 17:00:00,Puglia,26
2020-03-20 17:00:00,Sardegna,2
2020-03-20 17:00:00,Sicilia,4
2020-03-20 17:00:00,Toscana,47
2020-03-20 17:00:00,Umbria,7
2020-03-20 17:00:00,Valle d'Aosta,7
2020-03-20 17:00:00,Veneto,131
2020-03-21 17:00:00,Abruzzo,22
2020-03-21 17:00:00,Basilicata,0
2020-03-21 17:00:00,Calabria,5
2020-03-21 17:00:00,Campania,22
2020-03-21 17:00:00,Emilia-Romagna,715
2020-03-21 17:00:00,Friuli Venezia Giulia,42
2020-03-21 17:00:00,Lazio,50
2020-03-21 17:00:00,Liguria,152
2020-03-21 17:00:00,Lombardia,3095
2020-03-21 17:00:00,Marche,154
2020-03-21 17:00:00,Molise,7
2020-03-21 17:00:00,P.A. Bolzano,20
2020-03-21 17:00:00,P.A. Trento,28
2020-03-21 17:00:00,Piemonte,238
2020-03-21 17:00:00,Puglia,29
2020-03-21 17:00:00,Sardegna,4
2020-03-21 17:00:00,Sicilia,6
2020-03-21 17:00:00,Toscana,72
2020-03-21 17:00:00,Umbria,10
2020-03-21 17:00:00,Valle d'Aosta,8
2020-03-21 17:00:00,Veneto,146
2020-03-22 17:00:00,Abruzzo,33
2020-03-22 17:00:00,Basilicata,0
2020-03-22 17:00:00,Calabria,8
2020-03-22 17:00:00,Campania,29
2020-03-22 17:00:00,Emilia-Romagna,816
2020-03-22 17:00:00,Friuli Venezia Giulia,47
2020-03-22 17:00:00,Lazio,53
2020-03-22 17:00:00,Liguria,171
2020-03-22 17:00:00,Lombardia,3456
2020-03-22 17:00:00,Marche,184
2020-03-22 17:00:00,Molise,7
2020-03-22 17:00:00,P.A. Bolzano,23
2020-03-22 17:00:00,P.A. Trento,35
2020-03-22 17:00:00,Piemonte,283
2020-03-22 17:00:00,Puglia,31
2020-03-22 17:00:00,Sardegna,7
2020-03-22 17:00:00,Sicilia,8
2020-03-22 17:00:00,Toscana,91
2020-03-22 17:00:00,Umbria,16
2020-03-22 17:00:00,Valle d'Aosta,9
2020-03-22 17:00:00,Veneto,169
2020-03-23 17:00:00,Abruzzo,38
2020-03-23 17:00:00,Basilicata,1
2020-03-23 17:00:00,Calabria,7
2020-03-23 17:00:00,Campania,49
2020-03-23 17:00:00,Emilia-Romagna,892
2020-03-23 17:00:00,Friuli Venezia Giulia,54
2020-03-23 17:00:00,Lazio,63
2020-03-23 17:00:00,Liguria,212
2020-03-23 17:00:00,Lombardia,3776
2020-03-23 17:00:00,Marche,203
2020-03-23 17:00:00,Molise,7
2020-03-23 17:00:00,P.A. Bolzano,29
2020-03-23 17:00:00,P.A. Trento,41
2020-03-23 17:00:00,Piemonte,315
2020-03-23 17:00:00,Puglia,37
2020-03-23 17:00:00,Sardegna,11
2020-03-23 17:00:00,Sicilia,13
2020-03-23 17:00:00,Toscana,109
2020-03-23 17:00:00,Umbria,16
2020-03-23 17:00:00,Valle d'Aosta,12
2020-03-23 17:00:00,Veneto,192
2020-03-24 17:00:00,Abruzzo,46
2020-03-24 17:00:00,Basilicata,1
2020-03-24 17:00:00,Calabria,10
2020-03-24 17:00:00,Campania,56
2020-03-24 17:00:00,Emilia-Romagna,985
2020-03-24 17:00:00,Friuli Venezia Giulia,64
2020-03-24 17:00:00,Lazio,80
2020-03-24 17:00:00,Liguria,231
2020-03-24 17:00:00,Lombardia,4178
2020-03-24 17:00:00,Marche,231
2020-03-24 17:00:00,Molise,8
2020-03-24 17:00:00,P.A. Bolzano,38
2020-03-24 17:00:00,P.A. Trento,56
2020-03-24 17:00:00,Piemonte,374
2020-03-24 17:00:00,Puglia,44
2020-03-24 17:00:00,Sardegna,15
2020-03-24 17:00:00,Sicilia,20
2020-03-24 17:00:00,Toscana,129
2020-03-24 17:00:00,Umbria,19
2020-03-24 17:00:00,Valle d'Aosta,19
2020-03-24 17:00:00,Veneto,216
2020-03-25 17:00:00,Abruzzo,52
2020-03-25 17:00:00,Basilicata,1
2020-03-25 17:00:00,Calabria,11
2020-03-25 17:00:00,Campania,74
2020-03-25 17:00:00,Emilia-Romagna,1077
2020-03-25 17:00:00,Friuli Venezia Giulia,70
2020-03-25 17:00:00,Lazio,95
2020-03-25 17:00:00,Liguria,254
2020-03-25 17:00:00,Lombardia,4474
2020-03-25 17:00:00,Marche,287
2020-03-25 17:00:00,Molise,8
2020-03-25 17:00:00,P.A. Bolzano,43
2020-03-25 17:00:00,P.A. Trento,74
2020-03-25 17:00:00,Piemonte,449
2020-03-25 17:00:00,Puglia,48
2020-03-25 17:00:00,Sardegna,18
2020-03-25 17:00:00,Sicilia,25
2020-03-25 17:00:00,Toscana,142
2020-03-25 17:00:00,Umbria,19
2020-03-25 17:00:00,Valle d'Aosta,24
